Postcode,LDZ,Exit Zone
BD13BY,NE,NE1
BD13BZ,NE,NE1
BD13DN,NE,NE1
BD13EA,NE,NE1
BD13EB,NE,NE1
BD13ED,NE,NE1
BD13EJ,NE,NE1
BD13EP,NE,NE1
BD13EQ,NE,NE1
BD13ES,NE,NE1
BD13ET,NE,NE1
BD13EY,NE,NE1
BD13EZ,NE,NE1
BD13HL,NE,NE1
BD13HN,NE,NE1
BD13HR,NE,NE1
BD13HT,NE,NE1
BD13HZ,NE,NE1
BD13JH,NE,NE1
BD13JL,NE,NE1
BD13JP,NE,NE1
BD13JR,NE,NE1
BD13JS,NE,NE1
BD13JT,NE,NE1
BD13JU,NE,NE1
BD13LB,NE,NE1
BD13LS,NE,NE1
BD13LW,NE,NE1
BD13LX,NE,NE1
BD13LY,NE,NE1
BD13ND,NE,NE1
BD13NJ,NE,NE1
BD13NN,NE,NE1
BD13NU,NE,NE1
BD13PB,NE,NE1
BD13PE,NE,NE1
BD13PP,NE,NE1
BD13PQ,NE,NE1
BD13PY,NE,NE1
BD13PZ,NE,NE1
BD13QQ,NE,NE1
BD13QR,NE,NE1
BD13QS,NE,NE1
BD13QX,NE,NE1
BD13RA,NE,NE1
BD13RB,NE,NE1
BD13RG,NE,NE1
BD13RP,NE,NE1
BD13RQ,NE,NE1
BD13RU,NE,NE1
BD13SF,NE,NE1
BD13SH,NE,NE1
BD13SN,NE,NE1
BD13SQ,NE,NE1
BD13SR,NE,NE1
BD13ST,NE,NE1
BD13TH,NE,NE1
BD14AA,NE,NE1
BD14AB,NE,NE1
BD14AG,NE,NE1
BD14AH,NE,NE1
BD14AJ,NE,NE1
BD14AP,NE,NE1
BD14AR,NE,NE1
BD14AS,NE,NE1
BD14AT,NE,NE1
BD14AU,NE,NE1
BD14BA,NE,NE1
BD14DA,NE,NE1
BD14DE,NE,NE1
BD14DH,NE,NE1
BD14DQ,NE,NE1
BD14DR,NE,NE1
BD14DY,NE,NE1
BD14DZ,NE,NE1
BD14EG,NE,NE1
BD14EH,NE,NE1
BD14EL,NE,NE1
BD14ES,NE,NE1
BD14EW,NE,NE1
BD14EY,NE,NE1
BD14HD,NE,NE1
BD14HF,NE,NE1
BD14HP,NE,NE1
BD14HR,NE,NE1
BD14HU,NE,NE1
BD14JB,NE,NE1
BD14NL,NE,NE1
BD14NS,NE,NE1
BD14PB,NE,NE1
BD14PS,NE,NE1
BD14QD,NE,NE1
BD14QE,NE,NE1
BD14QH,NE,NE1
BD14QJ,NE,NE1
BD14QR,NE,NE1
BD14QT,NE,NE1
BD14QU,NE,NE1
BD14RB,NE,NE1
BD14RD,NE,NE1
BD14RF,NE,NE1
BD14RH,NE,NE1
BD14RN,NE,NE1
BD14RP,NE,NE1
BD14RU,NE,NE1
BD14RY,NE,NE1
BD14SD,NE,NE1
BD14SF,NE,NE1
BD14SJ,NE,NE1
BD14SP,NE,NE1
BD14SR,NE,NE1
BD14SX,NE,NE1
BD14TY,NE,NE1
BD14XB,NE,NE1
BD15AF,NE,NE1
BD15AG,NE,NE1
BD15AH,NE,NE1
BD15AJ,NE,NE1
BD15AP,NE,NE1
BD15AS,NE,NE1
BD15BA,NE,NE1
BD15BD,NE,NE1
BD15BE,NE,NE1
BD15BJ,NE,NE1
BD15BL,NE,NE1
BD15BY,NE,NE1
BD15DL,NE,NE1
BD15DN,NE,NE1
BD15DT,NE,NE1
BD15DW,NE,NE1
BD15DY,NE,NE1
BD15EE,NE,NE1
BD15EP,NE,NE1
BD15HD,NE,NE1
BD15HQ,NE,NE1
BD15HR,NE,NE1
BD15HU,NE,NE1
BD15HZ,NE,NE1
BD15JA,NE,NE1
BD15LD,NE,NE1
BD15LL,NE,NE1
BD15LQ,NE,NE1
BD15NU,NE,NE1
BD15PS,NE,NE1
BD15RE,NE,NE1
BD15RJ,NE,NE1
BD15RL,NE,NE1
BD15RQ,NE,NE1
BD15RW,NE,NE1
BD15SD,NE,NE1
BD15SG,NE,NE1
BD15SH,NE,NE1
BD15SX,NE,NE1
BD19SG,NE,NE1
BD19TS,NE,NE1
BD11AA,NE,NE1
BD14EJ,NE,NE1
BD14UG,NE,NE1
BD15AY,NE,NE1
BD100EZ,NE,NE1
BD100HA,NE,NE1
BD100LA,NE,NE1
BD100LG,NE,NE1
BD100LY,NE,NE1
BD100NG,NE,NE1
BD100VV,NE,NE1
BD101OT,NE,NE1
BD101ZZ,NE,NE1
BD108DR,NE,NE1
BD108DS,NE,NE1
BD108DT,NE,NE1
BD108DU,NE,NE1
BD108DY,NE,NE1
BD108EA,NE,NE1
BD108EB,NE,NE1
BD108ED,NE,NE1
BD108EH,NE,NE1
BD108EJ,NE,NE1
BD108EL,NE,NE1
BD108EN,NE,NE1
BD108EQ,NE,NE1
BD108HA,NE,NE1
BD108HB,NE,NE1
BD108HD,NE,NE1
BD108HG,NE,NE1
BD108HH,NE,NE1
BD108HJ,NE,NE1
BD108HL,NE,NE1
BD108HN,NE,NE1
BD108HP,NE,NE1
BD108HR,NE,NE1
BD108HS,NE,NE1
BD108HT,NE,NE1
BD108HU,NE,NE1
BD108HX,NE,NE1
BD108JA,NE,NE1
BD108JB,NE,NE1
BD108NL,NE,NE1
BD108SG,NE,NE1
BD108VV,NE,NE1
BD109DP,NE,NE1
BD109DR,NE,NE1
BD109DS,NE,NE1
BD109DT,NE,NE1
BD109DU,NE,NE1
BD109DX,NE,NE1
BD109DY,NE,NE1
BD109EA,NE,NE1
BD109EB,NE,NE1
BD109ED,NE,NE1
BD109EE,NE,NE1
BD109EH,NE,NE1
BD109EJ,NE,NE1
BD109EL,NE,NE1
BD109EN,NE,NE1
BD109EP,NE,NE1
BD109EQ,NE,NE1
BD109EU,NE,NE1
BD109EX,NE,NE1
BD109EY,NE,NE1
BD109EZ,NE,NE1
BD109HA,NE,NE1
BD109HH,NE,NE1
BD109HJ,NE,NE1
BD109HL,NE,NE1
BD109HN,NE,NE1
BD109HY,NE,NE1
BD109JA,NE,NE1
BD109LN,NE,NE1
BD109LP,NE,NE1
BD109LR,NE,NE1
BD109LS,NE,NE1
BD109LU,NE,NE1
BD109LX,NE,NE1
BD109NB,NE,NE1
BD109NL,NE,NE1
BD109NN,NE,NE1
BD109NP,NE,NE1
BD109NQ,NE,NE1
